epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.48095,1.91289,1.73559,1.78648,0.76341,0.33333,0.45005,0.16531,2.30465,2.29705,2.18787,8e-05,8e-05,8e-05
2,8.17125,2.09741,2.05657,2.00044,0.5241,0.53333,0.44039,0.15303,2.29209,2.38803,2.23919,0.000176436,0.000176436,0.000176436
3,10.5876,1.8383,1.68774,1.85524,0.62,0.2,0.35899,0.17303,2.03055,2.36841,2.00994,0.000268912,0.000268912,0.000268912
4,12.269,1.7736,1.44226,1.84926,0.32185,0.4,0.41464,0.1757,1.99703,2.12264,1.95409,0.000357428,0.000357428,0.000357428
5,13.9609,1.83408,1.63804,1.87435,0.58936,0.4792,0.55428,0.24107,1.91799,1.84883,1.91624,0.000441984,0.000441984,0.000441984
6,15.5939,1.73825,1.47106,1.81283,0.7801,0.6,0.58798,0.26351,1.90691,1.83776,1.92524,0.00052258,0.00052258,0.00052258
7,17.2232,1.6422,1.36885,1.65567,0.59306,0.46667,0.46221,0.20088,2.37701,1.91053,2.31612,0.000599216,0.000599216,0.000599216
8,18.8077,1.7181,1.31733,1.83001,0.49577,0.53333,0.50303,0.23369,2.10978,1.86308,2.02249,0.000671892,0.000671892,0.000671892
9,20.4264,1.74228,1.42723,1.85321,0.47957,0.53333,0.49436,0.19626,2.11054,2.07187,2.14345,0.000740608,0.000740608,0.000740608
10,21.9813,1.81918,1.60339,1.87643,0.46471,0.4,0.41718,0.16074,2.70908,2.38221,2.71067,0.000805364,0.000805364,0.000805364
11,23.5331,1.78505,1.41571,1.77617,0.58867,0.47776,0.49861,0.1582,2.63506,2.32973,2.61125,0.00086616,0.00086616,0.00086616
12,25.0789,1.60464,1.39321,1.78041,0.60722,0.53333,0.51767,0.1876,2.43319,1.91228,2.36486,0.000922996,0.000922996,0.000922996
13,26.6158,1.65578,1.35393,1.67996,0.5988,0.53333,0.46832,0.16902,2.55788,1.93393,2.51829,0.000975872,0.000975872,0.000975872
14,28.1318,1.63409,1.3075,1.73251,0.58527,0.53333,0.41597,0.12551,2.84714,1.9803,2.80444,0.00102479,0.00102479,0.00102479
15,29.6602,1.5601,1.27876,1.64258,0.70652,0.53333,0.50848,0.15582,2.53623,1.95856,2.51986,0.00106974,0.00106974,0.00106974
16,31.1446,1.56915,1.25947,1.70101,0.79183,0.6,0.61322,0.20241,2.41466,1.94262,2.43554,0.00111074,0.00111074,0.00111074
17,32.6936,1.62766,1.28809,1.6631,0.7031,0.53333,0.51134,0.18955,2.44275,2.00676,2.39259,0.00114778,0.00114778,0.00114778
18,34.2189,1.50532,1.2404,1.64908,0.76575,0.53333,0.5186,0.19837,2.50106,1.93204,2.46073,0.00118085,0.00118085,0.00118085
19,35.7173,1.6079,1.2117,1.68171,0.62903,0.46667,0.45948,0.16656,2.64599,2.00201,2.61261,0.00120997,0.00120997,0.00120997
20,37.2485,1.51018,1.15235,1.55171,0.61499,0.46667,0.4133,0.1627,2.5033,1.96158,2.36981,0.00123512,0.00123512,0.00123512
21,38.7298,1.49599,1.15792,1.57383,0.66181,0.52266,0.44464,0.18416,2.40046,1.80887,2.28382,0.001208,0.001208,0.001208
22,40.2374,1.68936,1.24404,1.80166,0.63605,0.6,0.54347,0.14981,2.66492,1.87786,2.60493,0.0011684,0.0011684,0.0011684
23,41.7061,1.60208,1.16538,1.74286,0.81663,0.59429,0.54966,0.1509,2.69655,1.87829,2.65092,0.0011288,0.0011288,0.0011288
24,43.2105,1.54062,1.12729,1.72154,0.61958,0.33333,0.31472,0.10035,3.15776,1.86565,3.41183,0.0010892,0.0010892,0.0010892
25,44.6904,1.52717,1.08385,1.66636,0.46952,0.33333,0.3301,0.12337,3.06801,2.10243,3.26825,0.0010496,0.0010496,0.0010496
26,46.1919,1.52205,1.09445,1.63036,0.70194,0.4714,0.48249,0.15101,2.99466,2.09321,3.21648,0.00101,0.00101,0.00101
27,47.6765,1.54689,1.13264,1.67884,0.83982,0.53333,0.50255,0.17171,2.84308,2.00104,2.99286,0.0009704,0.0009704,0.0009704
28,49.1964,1.52052,1.16713,1.63748,0.68164,0.46667,0.43097,0.14689,2.83742,1.79278,2.90348,0.0009308,0.0009308,0.0009308
29,50.7542,1.46077,1.10556,1.59149,0.78834,0.53333,0.5,0.17134,2.8905,1.80854,2.89378,0.0008912,0.0008912,0.0008912
30,52.2468,1.45176,1.04575,1.58514,0.78815,0.53333,0.51893,0.18252,2.81445,1.80523,2.86883,0.0008516,0.0008516,0.0008516
31,53.724,1.54923,1.09281,1.52862,0.78866,0.53333,0.50777,0.20653,2.62481,1.83662,2.67602,0.000812,0.000812,0.000812
32,55.2304,1.45761,1.10853,1.54617,0.78598,0.53333,0.52138,0.21974,2.44962,1.8431,2.45807,0.0007724,0.0007724,0.0007724
33,56.7157,1.43892,1.06161,1.49321,0.78644,0.53333,0.49565,0.18932,2.55519,1.84732,2.55359,0.0007328,0.0007328,0.0007328
34,58.2582,1.42401,1.08184,1.55034,0.78448,0.53333,0.48568,0.17241,2.69867,1.93122,2.71497,0.0006932,0.0006932,0.0006932
35,59.8379,1.44237,1.03499,1.63559,0.78173,0.53333,0.4875,0.17588,2.71413,2.00306,2.71806,0.0006536,0.0006536,0.0006536
36,61.4044,1.4268,0.98016,1.58135,0.79555,0.6,0.54947,0.18706,2.58084,2.06629,2.58844,0.000614,0.000614,0.000614
37,62.9334,1.45232,0.99893,1.61188,0.79664,0.6,0.56491,0.18643,2.50476,1.85277,2.51542,0.0005744,0.0005744,0.0005744
38,64.5739,1.382,0.89822,1.45314,0.69113,0.59694,0.53549,0.19775,2.42774,1.78388,2.43562,0.0005348,0.0005348,0.0005348
39,66.0953,1.28976,0.88755,1.41176,0.70641,0.53333,0.52286,0.16967,2.5412,1.76165,2.54583,0.0004952,0.0004952,0.0004952
40,67.633,1.28382,0.9041,1.50565,0.6977,0.53333,0.52673,0.14374,2.83734,1.6311,2.87378,0.0004556,0.0004556,0.0004556
41,75.9964,1.25809,0.9681,1.61153,0.69011,0.6,0.61074,0.17923,2.80547,1.57928,2.88389,0.000416,0.000416,0.000416
42,77.5228,1.20044,0.86978,1.52404,0.69041,0.6,0.61398,0.18216,2.73102,1.53997,2.81633,0.0003764,0.0003764,0.0003764
43,78.9979,1.37838,0.98499,1.78248,0.68033,0.6,0.61086,0.18863,2.74977,1.55881,2.87272,0.0003368,0.0003368,0.0003368
44,80.5072,1.2747,0.96867,1.63332,0.64246,0.71943,0.64145,0.19121,2.76384,1.4887,2.90816,0.0002972,0.0002972,0.0002972
45,81.9582,1.33158,0.90609,1.6497,0.79825,0.5281,0.5926,0.18879,2.73791,1.47229,2.88581,0.0002576,0.0002576,0.0002576
46,83.3959,1.24217,0.84182,1.61675,0.79531,0.51925,0.5957,0.18704,2.69474,1.45227,2.86728,0.000218,0.000218,0.000218
47,84.8291,1.28221,0.8459,1.63353,0.82246,0.46667,0.58717,0.19405,2.65654,1.46226,2.84024,0.0001784,0.0001784,0.0001784
48,86.3042,1.05701,0.73059,1.41043,0.8255,0.46667,0.5692,0.1854,2.63807,1.47246,2.85275,0.0001388,0.0001388,0.0001388
49,87.782,1.17819,0.8561,1.61778,0.82534,0.46667,0.58132,0.19237,2.64574,1.47579,2.86707,9.92e-05,9.92e-05,9.92e-05
50,89.2489,1.27177,0.86173,1.64113,0.72253,0.6,0.66072,0.19672,2.63946,1.45805,2.8605,5.96e-05,5.96e-05,5.96e-05
