epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.97988,2.59516,7.25965,1.90012,0.00737,0.48,0.00521,0.00142,2.96996,248.798,1.86874,0.00058,0.00058,0.00058
2,18.1674,2.16634,1.92864,1.64285,0.0016,0.02,0.00028,0.00012,2.61252,74.0421,1.97803,0.00116832,0.00116832,0.00116832
3,25.9473,2.01941,1.83202,1.55626,0.50893,0.14,0.15575,0.06607,2.24661,3.66457,1.50238,0.00174476,0.00174476,0.00174476
4,33.3548,2.00735,1.73942,1.60116,0,0,0,0,0,440.375,0,0.0019406,0.0019406,0.0019406
5,40.4214,1.95683,1.58463,1.55464,0.58585,0.04,0.02976,0.00984,1.0579,1.55312,0.94825,0.0019208,0.0019208,0.0019208
6,48.3052,1.95344,1.53503,1.55642,0.65878,0.76,0.66191,0.26311,1.98837,1.38942,1.32987,0.001901,0.001901,0.001901
7,56.0335,1.88693,1.49798,1.53557,0.65975,0.78,0.77098,0.365,1.65079,1.65091,1.20267,0.0018812,0.0018812,0.0018812
8,63.8755,1.89159,1.4411,1.50352,0.60117,0.7,0.63481,0.20075,1.93591,1.53805,1.33698,0.0018614,0.0018614,0.0018614
9,71.575,1.91624,1.4331,1.50637,0.64371,0.83117,0.76652,0.40186,1.6256,1.36027,1.17974,0.0018416,0.0018416,0.0018416
10,79.2996,1.85573,1.45949,1.50873,0.76655,0.88,0.86814,0.41756,1.67193,1.10282,1.23266,0.0018218,0.0018218,0.0018218
11,86.9683,1.81689,1.42612,1.47825,0.81494,0.88072,0.90459,0.37585,1.84235,1.13499,1.29157,0.001802,0.001802,0.001802
12,94.5805,1.82097,1.40335,1.4691,0.45106,0.7,0.46727,0.14967,2.11248,1.44718,1.44338,0.0017822,0.0017822,0.0017822
13,102.185,1.8142,1.35179,1.44466,0.73258,0.74,0.77388,0.33982,1.8502,1.47813,1.32335,0.0017624,0.0017624,0.0017624
14,109.734,1.77766,1.32004,1.4188,0.84052,0.86,0.87944,0.30958,2.05673,1.09974,1.35422,0.0017426,0.0017426,0.0017426
15,117.38,1.80142,1.29895,1.46056,0.62692,0.72,0.57796,0.18498,2.08602,1.54637,1.4196,0.0017228,0.0017228,0.0017228
16,124.993,1.82065,1.30885,1.47964,0.6696,0.85126,0.76899,0.32128,1.78295,1.19653,1.2671,0.001703,0.001703,0.001703
17,132.704,1.755,1.3147,1.45304,0.7882,0.81872,0.84099,0.27114,1.79449,1.27112,1.26544,0.0016832,0.0016832,0.0016832
18,140.332,1.75701,1.26705,1.41603,0.6728,0.78,0.76173,0.33083,1.6719,1.13491,1.18975,0.0016634,0.0016634,0.0016634
