epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.01041,2.72159,4.0395,2.15139,0.0203,0.1,0.00582,0.00116,3.1269,4.18352,2.64935,0.00012,0.00012,0.00012
2,8.82833,2.69632,3.33445,2.21513,0.11677,0.16667,0.06043,0.02027,2.78745,3.23887,2.44694,0.000257426,0.000257426,0.000257426
3,12.6992,2.49575,2.50888,2.039,0.17839,0.33333,0.20062,0.05801,2.39094,2.56791,2.14275,0.00039208,0.00039208,0.00039208
4,16.7737,2.42054,2.49739,1.92721,0.17482,0.43788,0.20604,0.06264,2.71303,3.07703,2.41685,0.000523962,0.000523962,0.000523962
5,20.5131,2.17434,2.34477,1.83604,0.18038,0.2,0.20324,0.05616,3.10328,2.90184,2.86039,0.000653072,0.000653072,0.000653072
6,24.1079,2.28061,2.11067,1.83474,0.33804,0.3,0.32105,0.08989,2.51208,2.35387,2.25429,0.00077941,0.00077941,0.00077941
7,27.1265,2.12892,2.11933,1.81645,0.31741,0.3,0.26649,0.08789,2.55645,2.19008,2.27914,0.000902976,0.000902976,0.000902976
8,30.0675,2.04335,2.10567,1.72271,0.28005,0.36667,0.23636,0.08501,2.62641,2.19359,2.35849,0.00102377,0.00102377,0.00102377
9,33.0663,2.07631,2.03534,1.78113,0.30875,0.2,0.1517,0.03616,2.54711,2.85117,2.21342,0.00114179,0.00114179,0.00114179
10,36.0997,2.0999,2.00045,1.76182,0.55277,0.2,0.24719,0.06844,2.36392,2.82554,2.03445,0.00125704,0.00125704,0.00125704
11,38.9772,1.97519,2.04161,1.75368,0.4723,0.26667,0.35442,0.11168,2.49078,2.21789,2.12572,0.00136952,0.00136952,0.00136952
12,42.0189,1.98266,2.03838,1.69743,0.63445,0.2898,0.33275,0.09977,2.47827,2.34838,2.18884,0.00147923,0.00147923,0.00147923
13,44.9071,2.10528,1.91492,1.75166,0.53475,0.26667,0.29248,0.07252,2.85172,2.44931,2.5945,0.00158616,0.00158616,0.00158616
14,47.8448,2.14276,1.90983,1.79354,0.32633,0.23333,0.24703,0.06559,2.86048,2.45664,2.72415,0.00169032,0.00169032,0.00169032
