epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5599,2.71993,4.85697,1.85619,0.0006,0.18,0.00025,4e-05,2.38356,5.04115,1.50472,0.00048,0.00048,0.00048
2,31.2263,2.00599,2.71887,1.38329,0.0004,0.12,6e-05,1e-05,1.92852,4.57157,1.29913,0.000970298,0.000970298,0.000970298
3,45.6166,1.87041,2.3868,1.35514,0.0028,0.84,0.1204,0.04928,2.10471,3.58066,1.45065,0.0014507,0.0014507,0.0014507
4,59.9404,2.02556,2.2695,1.50791,0.70216,0.6,0.69642,0.29307,1.8959,2.38923,1.28543,0.00192119,0.00192119,0.00192119
5,74.3807,1.88984,1.97385,1.41929,0.66984,0.81162,0.76488,0.30146,1.84151,2.10036,1.26032,0.0019208,0.0019208,0.0019208
6,88.7277,1.87698,1.8059,1.39108,0.56299,0.78,0.68448,0.29364,2.00785,1.57041,1.36755,0.001901,0.001901,0.001901
7,104.835,1.82389,1.64486,1.3574,0.71791,0.8,0.82486,0.3444,1.81046,1.37607,1.22851,0.0018812,0.0018812,0.0018812
8,125.023,1.79848,1.59799,1.33913,0.39227,0.74,0.36122,0.14231,2.00153,1.79006,1.39252,0.0018614,0.0018614,0.0018614
9,142.899,1.85054,1.61213,1.37777,0.59195,0.74,0.64471,0.27029,1.86727,1.30186,1.27172,0.0018416,0.0018416,0.0018416
10,159.522,1.84676,1.48426,1.36152,0.43987,0.82,0.47477,0.18821,1.83114,1.43498,1.26786,0.0018218,0.0018218,0.0018218
11,176.16,1.77897,1.41925,1.34052,0.49038,0.66,0.45493,0.1899,1.90613,2.49237,1.34496,0.001802,0.001802,0.001802
12,193.049,1.84488,1.41448,1.39487,0.53951,0.76,0.66294,0.27815,1.73827,1.16925,1.20429,0.0017822,0.0017822,0.0017822
13,209.986,1.77355,1.41606,1.34715,0.55025,0.68519,0.54023,0.18546,1.9958,1.3687,1.38507,0.0017624,0.0017624,0.0017624
14,227.554,1.76927,1.412,1.32943,0.70158,0.86,0.8632,0.3451,1.60825,1.1714,1.1685,0.0017426,0.0017426,0.0017426
15,244.639,1.76162,1.29715,1.36579,0.83848,0.93445,0.8752,0.35219,1.68009,1.05648,1.20561,0.0017228,0.0017228,0.0017228
16,261.835,1.74399,1.28998,1.36389,0.78655,0.7,0.75509,0.27837,1.97635,1.24278,1.34857,0.001703,0.001703,0.001703
17,278.815,1.78691,1.32018,1.38582,0.92194,0.86,0.94219,0.42101,1.66938,1.20015,1.19248,0.0016832,0.0016832,0.0016832
18,295.743,1.78301,1.23354,1.35367,0.74657,0.8249,0.79821,0.35059,1.6746,1.14324,1.19998,0.0016634,0.0016634,0.0016634
19,312.685,1.75845,1.27838,1.38764,0.71183,0.88934,0.781,0.35588,1.61078,1.16599,1.19731,0.0016436,0.0016436,0.0016436
20,329.645,1.68052,1.32484,1.30927,0.70013,0.86,0.85529,0.40325,1.84716,1.1002,1.28281,0.0016238,0.0016238,0.0016238
21,346.824,1.76278,1.29416,1.34947,0.71159,0.72,0.72792,0.28462,1.70353,1.33881,1.23258,0.001604,0.001604,0.001604
22,363.887,1.68125,1.22674,1.31585,0.87007,0.9,0.93877,0.49629,1.54366,1.06014,1.14664,0.0015842,0.0015842,0.0015842
23,381.311,1.73006,1.21876,1.37705,0.75868,0.76,0.74406,0.23268,1.96177,1.35998,1.33965,0.0015644,0.0015644,0.0015644
24,398.424,1.69093,1.24454,1.30297,0.68759,0.8,0.72968,0.28765,1.60547,1.35242,1.18002,0.0015446,0.0015446,0.0015446
25,415.395,1.66804,1.25438,1.31579,0.68776,0.68,0.72257,0.29522,1.73593,1.22236,1.22209,0.0015248,0.0015248,0.0015248
26,432.418,1.70885,1.18161,1.34619,0.65621,0.66,0.56654,0.20157,1.97246,1.3826,1.39042,0.001505,0.001505,0.001505
27,449.323,1.72709,1.18494,1.35987,0.68921,0.84,0.74099,0.31131,1.66162,1.14248,1.20693,0.0014852,0.0014852,0.0014852
28,466.259,1.7083,1.23203,1.3274,0.70899,0.84,0.73688,0.34945,1.52344,1.13659,1.14416,0.0014654,0.0014654,0.0014654
29,483.498,1.71812,1.17538,1.33355,0.71921,0.72,0.72842,0.32242,1.7508,1.15814,1.22526,0.0014456,0.0014456,0.0014456
30,500.521,1.66247,1.17934,1.29062,0.7032,0.78,0.74272,0.31827,1.70897,1.23438,1.21674,0.0014258,0.0014258,0.0014258
31,517.654,1.62608,1.12744,1.27992,0.68833,0.74,0.75938,0.3028,1.81077,1.21921,1.26891,0.001406,0.001406,0.001406
32,534.476,1.64296,1.14851,1.30913,0.72261,0.76,0.68557,0.24322,1.83236,1.25117,1.2903,0.0013862,0.0013862,0.0013862
33,551.537,1.6182,1.10639,1.27536,0.78257,0.82,0.78841,0.31745,1.70934,1.08983,1.23576,0.0013664,0.0013664,0.0013664
34,568.495,1.67455,1.12495,1.31403,0.89864,0.9,0.9155,0.40758,1.51193,1.02027,1.13157,0.0013466,0.0013466,0.0013466
35,585.87,1.69504,1.1442,1.31199,0.67072,0.69266,0.63491,0.27134,1.67914,1.26975,1.22037,0.0013268,0.0013268,0.0013268
36,603.19,1.61147,1.15112,1.28429,0.70738,0.7,0.69836,0.26689,1.79159,1.40492,1.26935,0.001307,0.001307,0.001307
37,620.782,1.67599,1.15928,1.33231,0.79459,0.82,0.80236,0.40464,1.54019,1.03618,1.15021,0.0012872,0.0012872,0.0012872
38,639.614,1.61805,1.0822,1.29738,0.90915,0.92,0.92966,0.44057,1.5016,0.9803,1.14207,0.0012674,0.0012674,0.0012674
39,658.526,1.57777,1.08308,1.28132,0.83947,0.94,0.90328,0.39277,1.56208,1.00681,1.14216,0.0012476,0.0012476,0.0012476
40,677.767,1.65604,1.11528,1.28933,0.9129,0.94,0.90044,0.3733,1.60497,1.02252,1.16922,0.0012278,0.0012278,0.0012278
41,695.033,1.623,1.08239,1.28878,0.83821,0.86,0.81958,0.35239,1.6496,1.09086,1.1988,0.001208,0.001208,0.001208
42,712.26,1.58208,1.10998,1.26494,0.88174,0.92,0.94618,0.43698,1.6091,1.00082,1.1896,0.0011882,0.0011882,0.0011882
43,729.274,1.62139,1.06701,1.29382,0.73636,0.86,0.77731,0.30365,1.60361,1.10289,1.1964,0.0011684,0.0011684,0.0011684
44,746.331,1.63994,1.05631,1.29188,0.85266,0.86,0.83163,0.31782,1.66334,1.18799,1.19899,0.0011486,0.0011486,0.0011486
45,763.43,1.57432,1.07465,1.24488,0.79973,0.86,0.84783,0.40128,1.56778,1.09486,1.16692,0.0011288,0.0011288,0.0011288
46,780.625,1.63075,1.0598,1.26887,0.81049,0.84,0.79283,0.3465,1.70132,1.07962,1.20267,0.001109,0.001109,0.001109
47,797.562,1.55405,1.07073,1.22811,0.85613,0.9,0.83652,0.3743,1.61672,1.0604,1.16832,0.0010892,0.0010892,0.0010892
